vfalter,vfsafe,vfproblem,age,gender,education,brexit_vote,vote2017_dum,nation_weight,pid
Strongly agree,Neither agree nor disagree,Strongly agree,21,Female,2,1. Remain,Loser,0.355792065,Other
Slightly agree,Disagree,Slightly agree,73,Female,1,2. Leave,Winner,0.687933186,Other
Strongly agree,Strongly disagree,Strongly agree,59,Female,2,2. Leave,Winner,0.771352148,UKIP Brexit
Slightly agree,Neither agree nor disagree,Agree,74,Male,2,2. Leave,Loser,0.775572052,Conservative
Slightly agree,Neither agree nor disagree,Neither agree nor disagree,72,Male,3,1. Remain,Winner,0.577849369,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40,Female,3,2. Leave,Loser,0.607579016,Other
Slightly agree,Slightly disagree,Slightly agree,68,Female,2,2. Leave,Winner,0.642159315,Other
Agree,Disagree,Agree,68,Female,3,2. Leave,Winner,0.798497348,Other
Neither agree nor disagree,Agree,Neither agree nor disagree,69,Male,1,2. Leave,Winner,0.844586675,UKIP Brexit
Disagree,Slightly agree,Neither agree nor disagree,54,Female,1,2. Leave,Loser,0.759777382,UKIP Brexit
Neither agree nor disagree,Slightly agree,Slightly agree,46,Male,2,2. Leave,Winner,0.714254891,Other
Strongly disagree,Agree,Strongly disagree,62,Male,2,1. Remain,Loser,0.75420229,Other
Slightly agree,Slightly disagree,Slightly agree,65,Male,2,2. Leave,Winner,0.677068721,Conservative
Strongly agree,Strongly disagree,Strongly agree,46,Male,3,2. Leave,Winner,1.271819591,Conservative
Slightly agree,Slightly disagree,Slightly agree,45,Female,2,2. Leave,NA,0.484995001,Other
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,57,Female,2,2. Leave,Loser,0.814474768,Other
Disagree,Slightly disagree,Slightly disagree,82,Female,1,2. Leave,Winner,0.732274979,UKIP Brexit
Slightly disagree,Slightly agree,Disagree,55,Female,3,1. Remain,Loser,0.78793872,Other
Neither agree nor disagree,Slightly disagree,Slightly disagree,38,Female,2,2. Leave,Loser,0.659792664,Other
Slightly disagree,Slightly agree,Slightly agree,49,Male,3,2. Leave,Loser,1.037359791,Other
Neither agree nor disagree,Agree,Disagree,49,Female,2,1. Remain,Loser,0.641128478,Other
Neither agree nor disagree,Disagree,Slightly agree,49,Male,1,1. Remain,Loser,1.595430391,Other
Neither agree nor disagree,Neither agree nor disagree,Disagree,34,Female,2,NA,NA,0.813548079,Other
Slightly agree,Slightly disagree,Slightly agree,59,Female,2,1. Remain,Loser,0.720837344,Other
Slightly disagree,Slightly agree,Neither agree nor disagree,43,Female,2,1. Remain,Loser,0.579713815,Other
Slightly agree,Slightly disagree,Slightly agree,69,Male,2,2. Leave,Loser,0.602990798,Conservative
Neither agree nor disagree,Agree,Neither agree nor disagree,52,Female,2,2. Leave,Loser,1.005999548,Other
Slightly disagree,Slightly agree,Disagree,58,Female,2,1. Remain,Loser,0.6881711,Other
Strongly disagree,Slightly agree,Disagree,67,Male,2,2. Leave,Winner,0.749649204,UKIP Brexit
Slightly agree,Slightly disagree,Agree,56,Male,1,1. Remain,Loser,0.770873848,Other
Slightly disagree,Neither agree nor disagree,Slightly disagree,43,Female,1,1. Remain,Loser,1.189872209,Other
Strongly agree,Strongly disagree,Strongly agree,67,Male,2,2. Leave,Loser,0.797529129,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,46,Female,3,1. Remain,Loser,0.681292796,Other
Neither agree nor disagree,Slightly disagree,Slightly agree,71,Female,2,1. Remain,Loser,0.628088054,Other
Agree,Disagree,Strongly agree,77,Male,1,1. Remain,NA,0.699121208,Conservative
Neither agree nor disagree,Agree,Strongly agree,42,Male,2,2. Leave,Winner,0.645101259,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,38,Male,3,1. Remain,Loser,1.563933789,Other
Slightly agree,Agree,Strongly agree,57,Female,3,2. Leave,Winner,0.803814906,Conservative
Agree,Strongly disagree,Agree,65,Male,2,2. Leave,Loser,0.578552231,Other
Disagree,Agree,Slightly disagree,78,Female,1,2. Leave,Winner,0.687933186,Other
Agree,Agree,Strongly agree,70,Female,1,2. Leave,Loser,0.692157009,Other
Neither agree nor disagree,Slightly agree,Slightly agree,59,Male,2,1. Remain,Loser,0.866169938,Other
Disagree,Disagree,Slightly agree,42,Female,3,1. Remain,Loser,0.791443523,Other
Slightly agree,Strongly disagree,Slightly agree,70,Male,1,2. Leave,Winner,0.657395422,UKIP Brexit
Slightly disagree,Slightly agree,Neither agree nor disagree,37,Female,2,2. Leave,Loser,0.752067967,Other
Strongly disagree,Strongly agree,Strongly disagree,39,Male,2,1. Remain,Winner,0.533354391,Conservative
Agree,Slightly agree,Slightly disagree,59,Female,1,2. Leave,Winner,0.605263871,Conservative
Slightly disagree,Slightly disagree,Slightly agree,63,Male,2,1. Remain,Loser,1.385073004,Other
Slightly agree,Slightly disagree,Slightly agree,57,Female,3,2. Leave,Winner,0.824212927,Conservative
Slightly agree,Disagree,Disagree,49,Female,2,2. Leave,Winner,0.674996658,UKIP Brexit
Disagree,Agree,Disagree,57,Female,3,1. Remain,Loser,0.740226294,Other
Slightly disagree,Neither agree nor disagree,Slightly agree,56,Female,3,1. Remain,Loser,0.712460884,Other
Slightly disagree,Slightly agree,Neither agree nor disagree,53,Male,1,2. Leave,Winner,0.796348825,Other
Slightly agree,Slightly disagree,Slightly agree,34,Female,2,2. Leave,Loser,1.634807605,Other
Disagree,Agree,Disagree,57,Female,2,1. Remain,Winner,0.728058043,Other
Strongly agree,Strongly disagree,Agree,63,Male,2,2. Leave,Winner,0.878719157,Conservative
Slightly agree,Neither agree nor disagree,Agree,62,Female,2,1. Remain,Winner,0.638461326,Conservative
Disagree,Agree,Slightly disagree,54,Female,3,2. Leave,Loser,0.785125637,UKIP Brexit
Slightly agree,Neither agree nor disagree,Neither agree nor disagree,28,Male,2,1. Remain,Loser,0.718050311,Other
Slightly agree,Neither agree nor disagree,Neither agree nor disagree,63,Female,2,1. Remain,Loser,0.732528228,Other
Disagree,Agree,Slightly disagree,38,Female,3,1. Remain,Winner,0.569623618,Conservative
Slightly agree,Neither agree nor disagree,Neither agree nor disagree,68,Female,2,2. Leave,NA,0.615884761,Conservative
Slightly agree,Neither agree nor disagree,Neither agree nor disagree,59,Male,1,1. Remain,Loser,0.845191582,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,49,Male,1,2. Leave,Winner,1.118131267,Other
Disagree,Slightly agree,Slightly disagree,22,Female,2,1. Remain,Loser,0.494442152,Other
Slightly disagree,Slightly agree,Neither agree nor disagree,32,Female,3,1. Remain,Loser,0.616030733,Other
Neither agree nor disagree,Agree,Neither agree nor disagree,73,Male,1,1. Remain,Winner,0.582261581,Other
Neither agree nor disagree,Slightly agree,Slightly agree,61,Female,2,1. Remain,Winner,0.617942033,Other
Slightly disagree,Slightly agree,Slightly disagree,20,Male,2,NA,NA,2.240731793,Other
Disagree,Strongly agree,Disagree,34,Female,2,2. Leave,Loser,0.659792664,Other
Slightly agree,Slightly agree,Neither agree nor disagree,23,Female,3,1. Remain,Loser,0.909075793,Other
Slightly agree,Slightly disagree,Slightly disagree,24,Female,3,1. Remain,Loser,0.821059745,Other
Strongly disagree,Neither agree nor disagree,Slightly disagree,36,Male,2,2. Leave,Winner,0.691925468,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,64,Female,1,1. Remain,Winner,0.499848992,Conservative
Disagree,Agree,Disagree,54,Male,3,1. Remain,Loser,0.508694134,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,27,Female,3,NA,Loser,0.979157108,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,29,Female,3,1. Remain,Loser,0.6343613,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,65,Male,2,1. Remain,Loser,0.449159462,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,71,Male,2,1. Remain,NA,1.38789835,Other
Strongly agree,Disagree,Strongly agree,66,Male,1,2. Leave,Loser,0.601099069,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,43,Male,3,1. Remain,NA,2.229952722,Other
Disagree,Agree,Strongly disagree,67,Male,2,2. Leave,Winner,0.817442789,Conservative
Agree,Strongly disagree,Agree,34,Male,1,2. Leave,Winner,1.016665296,Conservative
Neither agree nor disagree,Neither agree nor disagree,Strongly agree,29,Female,3,1. Remain,Loser,1.131896815,Other
Strongly disagree,Strongly agree,Strongly disagree,69,Female,2,1. Remain,Winner,0.529838979,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,31,Male,3,2. Leave,Winner,1.020723119,Conservative
Neither agree nor disagree,Agree,Neither agree nor disagree,33,Male,2,NA,NA,2.187829868,Other
Agree,Neither agree nor disagree,Strongly agree,61,Female,1,2. Leave,Loser,0.539716914,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40,Male,2,1. Remain,Loser,0.988412663,Other
Neither agree nor disagree,Agree,Disagree,40,Female,3,2. Leave,Winner,1.959007009,Other
Slightly agree,Slightly agree,Neither agree nor disagree,64,Male,1,2. Leave,Loser,1.021587953,Other
Neither agree nor disagree,Agree,Slightly agree,68,Female,1,2. Leave,Winner,0.850668453,Conservative
Neither agree nor disagree,Disagree,Strongly agree,70,Female,1,2. Leave,Loser,0.736771056,Other
Strongly disagree,Agree,Strongly disagree,46,Male,2,1. Remain,Loser,0.580685267,Other
Strongly agree,Slightly disagree,Agree,69,Male,1,2. Leave,Winner,0.843626687,UKIP Brexit
Agree,Disagree,Slightly agree,35,Female,2,2. Leave,Winner,0.717687928,Other
Slightly agree,Slightly disagree,Agree,56,Male,2,2. Leave,Winner,1.162716189,Other
Slightly agree,Disagree,Slightly agree,70,Male,2,2. Leave,Winner,0.703673563,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,29,Female,3,1. Remain,Loser,0.591875966,Other
Neither agree nor disagree,Slightly disagree,Slightly agree,34,Male,3,1. Remain,Loser,0.774950321,Other
Disagree,Neither agree nor disagree,Slightly disagree,24,Female,2,1. Remain,Winner,0.417098723,Other
Strongly disagree,Strongly agree,Strongly disagree,40,Female,3,1. Remain,Loser,0.540446578,Other
Neither agree nor disagree,Agree,Strongly disagree,50,Female,1,1. Remain,Loser,0.53569369,Other
Strongly disagree,Neither agree nor disagree,Disagree,36,Male,2,2. Leave,Winner,0.728933405,Other
Strongly disagree,Slightly agree,Strongly disagree,29,Male,2,1. Remain,Loser,0.57553485,Other
Slightly agree,Disagree,Slightly disagree,60,Female,2,2. Leave,Winner,0.801661779,Conservative
Agree,Disagree,Slightly agree,39,Female,2,2. Leave,Winner,0.628083473,Other
Disagree,Slightly disagree,Disagree,46,Female,2,2. Leave,Loser,0.619839927,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,61,Female,2,1. Remain,Loser,0.648401391,Other
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,26,Female,3,NA,NA,0.895648146,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,31,Female,3,NA,NA,0.761179892,Other
Slightly disagree,Neither agree nor disagree,Disagree,64,Female,2,2. Leave,Winner,0.828281642,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,68,Male,2,2. Leave,Loser,0.688104201,Other
Slightly agree,Neither agree nor disagree,Agree,61,Female,1,1. Remain,Winner,0.638038367,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,49,Female,2,1. Remain,Loser,0.55310494,Other
Slightly agree,Neither agree nor disagree,Slightly agree,35,Female,3,2. Leave,Loser,0.744129812,UKIP Brexit
Slightly agree,Slightly agree,Neither agree nor disagree,49,Female,2,2. Leave,Loser,0.752067967,UKIP Brexit
Disagree,Neither agree nor disagree,Disagree,28,Female,1,1. Remain,Winner,0.403372216,Conservative
Agree,Slightly disagree,Agree,18,Female,1,NA,NA,0.536456729,Other
Slightly agree,Slightly disagree,Slightly agree,39,Female,2,2. Leave,Winner,0.669881726,Conservative
Agree,Disagree,Neither agree nor disagree,41,Female,2,1. Remain,Loser,0.574572014,Other
Strongly agree,Strongly disagree,Strongly agree,69,Male,2,1. Remain,Winner,0.639066513,Other
Slightly agree,Disagree,Neither agree nor disagree,66,Male,1,2. Leave,Winner,1.87965995,Other
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,41,Male,3,NA,Loser,2.488641164,Other
Agree,Strongly agree,Slightly agree,38,Female,2,2. Leave,NA,0.645535737,Other
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,62,Female,1,2. Leave,Loser,0.614429832,Other
Agree,Slightly agree,Agree,42,Female,2,1. Remain,Loser,0.508585579,Other
Slightly agree,Slightly agree,Agree,34,Female,3,NA,Loser,0.895648146,Other
Disagree,Agree,Disagree,49,Female,3,NA,Loser,0.762046062,Other
Neither agree nor disagree,Slightly disagree,Slightly agree,72,Male,1,2. Leave,NA,0.50930198,Conservative
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,37,Female,1,1. Remain,Loser,0.432365658,Other
Slightly disagree,Slightly agree,Neither agree nor disagree,24,Female,3,1. Remain,Loser,1.441732775,Other
Disagree,Slightly agree,Disagree,31,Female,2,1. Remain,Loser,0.579054891,Other
Slightly disagree,Agree,Neither agree nor disagree,59,Male,2,2. Leave,Winner,1.162716189,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,55,Female,1,2. Leave,Loser,0.753038498,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,49,Female,2,1. Remain,Loser,0.562464943,Other
Strongly agree,Strongly disagree,Strongly agree,62,Female,1,2. Leave,Winner,0.747592442,UKIP Brexit
Strongly agree,Strongly disagree,Strongly agree,56,Female,1,2. Leave,NA,0.570635716,Other
Slightly disagree,Slightly agree,Neither agree nor disagree,35,Male,2,1. Remain,Loser,0.558551277,Other
Slightly disagree,Slightly agree,Disagree,73,Female,1,2. Leave,Winner,0.732274979,Conservative
Slightly disagree,Slightly disagree,Slightly disagree,59,Female,3,1. Remain,Loser,0.625756447,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,59,Male,1,2. Leave,Loser,1.57091868,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,35,Female,2,2. Leave,Loser,0.484995001,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,53,Female,2,1. Remain,Loser,2.07290405,Other
Strongly agree,Strongly disagree,Strongly agree,73,Male,1,2. Leave,Winner,0.726213264,UKIP Brexit
Slightly disagree,Slightly disagree,Slightly disagree,72,Female,2,1. Remain,Winner,0.624255205,Other
Disagree,Agree,Neither agree nor disagree,68,Male,1,2. Leave,Loser,1.726065266,Other
Slightly agree,Slightly disagree,Slightly agree,66,Female,2,2. Leave,Winner,0.662129256,Conservative
Agree,Strongly disagree,Agree,71,Female,2,2. Leave,Winner,0.64574256,Conservative
Disagree,Agree,Disagree,69,Female,2,2. Leave,Winner,0.850668453,Conservative
Strongly disagree,Strongly disagree,Strongly agree,31,Female,2,NA,NA,0.717121088,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,56,Female,3,1. Remain,Loser,0.781838725,Other
Disagree,Slightly agree,Slightly disagree,70,Female,1,2. Leave,Winner,0.687933186,Conservative
Neither agree nor disagree,Slightly agree,Slightly disagree,56,Female,3,1. Remain,Loser,0.781838725,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,64,Female,2,2. Leave,Winner,0.962197376,Conservative
Slightly agree,Slightly agree,Slightly agree,47,Male,3,1. Remain,Winner,0.905093252,Conservative
Disagree,Slightly agree,Slightly disagree,34,Female,3,2. Leave,Loser,0.780585206,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,63,Female,1,2. Leave,Winner,0.605263871,Conservative
Slightly disagree,Slightly disagree,Agree,54,Male,2,1. Remain,Loser,0.783198215,Other
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,72,Female,2,2. Leave,NA,0.542886108,Conservative
Slightly agree,Neither agree nor disagree,Slightly agree,60,Female,2,1. Remain,Loser,0.738243497,Other
Slightly disagree,Agree,Slightly disagree,43,Male,1,2. Leave,Winner,1.011023789,Other
Slightly agree,Slightly disagree,Slightly agree,49,Female,3,2. Leave,NA,0.535463009,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,72,Male,1,2. Leave,Winner,0.749649204,Conservative
Neither agree nor disagree,Disagree,Slightly agree,56,Male,1,2. Leave,Winner,0.791213644,Conservative
Neither agree nor disagree,Disagree,Strongly agree,69,Male,2,NA,NA,0.823212127,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,70,Female,1,2. Leave,Loser,0.736771056,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,61,Female,2,1. Remain,Winner,0.728058043,Other
Slightly disagree,Neither agree nor disagree,Slightly agree,70,Female,2,2. Leave,Winner,0.732274979,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,69,Female,1,NA,NA,0.708821922,Other
Disagree,Agree,Neither agree nor disagree,69,Female,1,2. Leave,Winner,0.687933186,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,27,Female,1,2. Leave,Loser,0.651599533,Other
Disagree,Agree,Disagree,37,Female,1,1. Remain,Loser,0.432365658,Other
Slightly agree,Neither agree nor disagree,Slightly agree,31,Male,3,1. Remain,Loser,1.136148075,Other
Slightly agree,Slightly agree,Slightly agree,35,Female,1,NA,Loser,0.526991747,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,44,Female,3,1. Remain,Loser,0.791443523,Other
Disagree,Agree,Disagree,47,Female,2,1. Remain,Winner,0.644543385,Conservative
Slightly agree,Slightly agree,Slightly agree,48,Female,2,2. Leave,Loser,0.638113404,Other
Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,60,Female,2,2. Leave,Loser,0.684803542,Other
Slightly agree,Slightly agree,Slightly disagree,51,Female,3,2. Leave,Loser,0.708527562,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,42,Female,3,1. Remain,Loser,0.59254948,Other
Slightly agree,Neither agree nor disagree,Neither agree nor disagree,33,Male,3,1. Remain,Loser,0.940743111,Conservative
Slightly agree,Neither agree nor disagree,Slightly disagree,24,Female,2,2. Leave,Winner,0.505519301,Other
Disagree,Agree,Disagree,63,Female,3,2. Leave,Winner,0.854653497,Conservative
Agree,Neither agree nor disagree,Agree,49,Female,2,2. Leave,Loser,1.944367198,Other
Slightly agree,Slightly disagree,Agree,42,Male,1,2. Leave,Winner,1.080965959,Conservative
Slightly agree,Slightly disagree,Slightly agree,30,Male,2,2. Leave,NA,0.563658021,Other
Neither agree nor disagree,Neither agree nor disagree,Strongly agree,56,Male,1,2. Leave,Loser,0.834497026,Other
Disagree,Agree,Slightly disagree,39,Male,2,1. Remain,Loser,0.53760038,Other
Slightly agree,Disagree,Slightly agree,54,Female,3,NA,Winner,1.076137669,Conservative
Neither agree nor disagree,Slightly disagree,Slightly agree,61,Female,2,1. Remain,NA,0.494633224,Other
Slightly disagree,Agree,Disagree,39,Female,3,1. Remain,Winner,0.670366554,Other
Disagree,Slightly agree,Slightly disagree,38,Male,2,1. Remain,Loser,0.553946909,Other
Slightly agree,Slightly disagree,Slightly agree,74,Male,2,2. Leave,Winner,0.749649204,Conservative
Neither agree nor disagree,Slightly agree,Disagree,74,Male,2,1. Remain,Winner,0.639066513,Conservative
Strongly agree,Strongly disagree,Strongly agree,74,Male,2,2. Leave,Winner,0.682238529,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,63,Male,2,2. Leave,Winner,0.940285312,Conservative
Strongly disagree,Strongly agree,Strongly disagree,68,Male,2,2. Leave,Winner,0.844586675,Other
Agree,Disagree,Agree,41,Male,3,1. Remain,Winner,0.84486993,Other
Agree,Disagree,Agree,71,Male,2,2. Leave,NA,0.68723724,Other
Disagree,Neither agree nor disagree,Slightly disagree,49,Female,3,1. Remain,Winner,0.588538456,Other
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,33,Female,1,NA,NA,0.64469002,UKIP Brexit
Slightly agree,Slightly disagree,Slightly agree,57,Male,3,1. Remain,Winner,0.704391452,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,54,Male,2,2. Leave,Winner,1.127648453,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,48,Female,1,NA,NA,0.495080566,Other
Agree,Disagree,Strongly agree,68,Female,1,1. Remain,Loser,0.595335499,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,20,Male,2,NA,NA,3.379634369,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,46,Female,3,2. Leave,NA,0.685976154,Other
Slightly agree,Slightly disagree,Neither agree nor disagree,41,Male,1,2. Leave,Winner,1.042464719,Other
Slightly agree,Neither agree nor disagree,Slightly agree,68,Male,2,1. Remain,Winner,0.652199845,Other
Slightly agree,Slightly disagree,Slightly agree,70,Male,2,2. Leave,Winner,0.656648202,Conservative
Slightly disagree,Neither agree nor disagree,Slightly disagree,58,Male,2,1. Remain,Loser,0.75420229,Other
Slightly agree,Slightly disagree,Neither agree nor disagree,79,Female,2,2. Leave,Winner,0.687933186,Conservative
Slightly agree,Neither agree nor disagree,Slightly agree,71,Female,3,2. Leave,Winner,0.642159315,Conservative
Disagree,Neither agree nor disagree,Disagree,42,Male,2,2. Leave,Loser,1.204630366,Other
Agree,Disagree,Strongly agree,26,Female,2,1. Remain,Loser,0.596963738,Other
Neither agree nor disagree,Slightly disagree,Slightly agree,72,Male,1,1. Remain,Loser,0.661165414,Other
Strongly agree,Strongly disagree,Strongly agree,30,Male,2,1. Remain,Loser,0.558904138,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,54,Female,3,1. Remain,Loser,0.650142887,Other
Agree,Strongly disagree,Slightly agree,73,Male,3,1. Remain,Loser,0.564034509,Other
Slightly disagree,Slightly agree,Neither agree nor disagree,66,Male,2,1. Remain,Winner,0.577192564,Conservative
Agree,Slightly disagree,Slightly agree,45,Male,2,2. Leave,Winner,0.629851893,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,71,Female,1,2. Leave,Winner,0.661376655,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,20,Female,2,NA,Loser,0.544924951,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,38,Female,1,NA,NA,0.476510414,Other
Slightly agree,Neither agree nor disagree,Slightly agree,53,Male,1,2. Leave,Loser,0.753691304,Conservative
Disagree,Strongly disagree,Disagree,67,Male,3,2. Leave,Winner,0.703673563,Conservative
Strongly agree,Strongly disagree,Strongly disagree,64,Male,2,2. Leave,Winner,0.939508553,UKIP Brexit
Slightly disagree,Slightly agree,Neither agree nor disagree,57,Female,2,1. Remain,Winner,0.657568,Conservative
Slightly agree,Slightly disagree,Slightly agree,48,Male,2,NA,NA,0.675181861,Other
Strongly agree,Disagree,Strongly disagree,56,Male,2,1. Remain,Winner,0.80249354,Conservative
Agree,Neither agree nor disagree,Agree,38,Female,1,2. Leave,NA,0.403622532,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,36,Female,2,2. Leave,Loser,0.679596914,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,46,Female,2,1. Remain,Winner,0.711547122,Conservative
Disagree,Agree,Disagree,46,Female,3,1. Remain,Loser,0.616030733,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,73,Male,1,2. Leave,Winner,0.749649204,Conservative
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,42,Male,3,1. Remain,Winner,0.905093252,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,43,Male,2,NA,NA,1.745588858,Other
Slightly agree,Slightly agree,Neither agree nor disagree,55,Female,1,2. Leave,Winner,0.564990671,Conservative
Slightly agree,Slightly disagree,Slightly agree,64,Female,1,1. Remain,Winner,0.496625763,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,46,Female,2,1. Remain,Winner,0.571065742,Other
Slightly disagree,Slightly disagree,Slightly disagree,48,Female,1,2. Leave,Loser,0.560911872,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,24,Female,3,1. Remain,Loser,0.513458327,Other
Strongly agree,Strongly disagree,Strongly disagree,58,Male,3,1. Remain,Loser,0.645827132,Other
Slightly disagree,Strongly agree,Neither agree nor disagree,44,Female,2,2. Leave,Winner,0.80784647,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,53,Female,2,2. Leave,Winner,0.801661779,Other
Slightly agree,Slightly disagree,Slightly agree,42,Male,2,1. Remain,Loser,0.611935495,Other
Slightly disagree,Slightly agree,Slightly disagree,68,Male,3,1. Remain,Loser,0.623306893,Other
Neither agree nor disagree,Slightly disagree,Strongly agree,67,Male,2,2. Leave,Winner,0.635544407,Conservative
Disagree,Agree,Slightly disagree,20,Female,2,NA,Loser,1.765751054,Other
Agree,Slightly disagree,Agree,37,Male,1,2. Leave,Loser,1.099492802,Other
Strongly agree,Slightly disagree,Strongly agree,39,Female,3,2. Leave,NA,0.721716906,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,30,Male,2,1. Remain,Loser,0.553317272,Other
Strongly disagree,Strongly agree,Strongly disagree,68,Female,2,2. Leave,Winner,0.687933186,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,36,Female,3,1. Remain,Loser,0.784423774,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,35,Female,1,NA,NA,2.158333848,Other
Neither agree nor disagree,Slightly disagree,Slightly disagree,37,Female,2,1. Remain,Loser,0.596963738,Other
Strongly agree,Slightly agree,Slightly agree,31,Male,1,1. Remain,Loser,4.561739416,Other
Disagree,Slightly agree,Slightly disagree,46,Male,2,1. Remain,Winner,0.5505665,Conservative
Neither agree nor disagree,Slightly agree,Disagree,38,Male,1,1. Remain,Loser,0.875303558,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,36,Female,2,1. Remain,Loser,1.595374992,Other
Disagree,Slightly disagree,Slightly disagree,47,Male,2,2. Leave,Winner,0.692712831,Conservative
Neither agree nor disagree,Disagree,Neither agree nor disagree,28,Female,3,1. Remain,Loser,0.540446578,Other
Neither agree nor disagree,Agree,Slightly disagree,44,Female,2,NA,NA,0.856730494,Other
Agree,Disagree,Agree,67,Male,2,1. Remain,NA,0.455494562,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,32,Female,1,NA,NA,0.667287952,Other
Agree,Disagree,Strongly agree,72,Male,2,1. Remain,Loser,0.648744372,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,73,Female,1,2. Leave,Winner,0.732274979,Conservative
Strongly agree,Disagree,Strongly agree,69,Female,2,2. Leave,Winner,0.661376655,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,32,Female,2,2. Leave,Loser,0.873661551,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,27,Male,1,NA,NA,1.023840703,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,60,Female,1,1. Remain,NA,0.517815281,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,33,Male,3,1. Remain,Loser,0.978022407,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,41,Male,2,1. Remain,Loser,1.524464352,Other
Disagree,Disagree,Neither agree nor disagree,51,Female,1,2. Leave,Winner,0.747592442,Conservative
Disagree,Slightly agree,Disagree,20,Male,2,NA,Loser,2.273515694,Other
