Topic,Question,VariableName,Responses,Year,Type,DisplayOrder
Asthma/Adult Asthma History,Do you still have asthma?,ASTHNOW,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,27
Immunization/Influenza,"During the past 12 months, have you had a flu shot?",FLUSHOT,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,28
Immunization/Influenza,Have you ever had a pneumonia shot?  This shot is usually given only once or twice in a person's lifetime and is different from the flu shot.  It is also called the pneumococcal vaccine.,PNEUVAC2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,29
Tobacco Use/Smoking Cessation/Secondhand Smoke,Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes],SMOKE100,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,30
Tobacco Use/Smoking Cessation/Secondhand Smoke,"Do you now smoke cigarettes everyday, some days, or not at all?",SMOKEDAY,1 Every day  2 Some days  3 Not at all  9 Refused,2003,Core Question,31
Tobacco Use/Smoking Cessation/Secondhand Smoke,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?",STOPSMK2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,32
Alcohol Consumption,"A drink of alcohol is 1 can or bottle of beer, 1 glass of wine, 1 can or bottle of wine cooler, 1 cocktail, or 1 shot of liquor. During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic beverage? (Variable name change)",ALCDAY3,1_ _ =Days per week  2_ _ =Days in past 30  8 8 8=No drinks in past 30 days  7 7 7=DK/NS  9 9 9=Refused,2003,Core Question,33
Alcohol Consumption,"(A drink of alcohol is 1 can or bottle of beer, 1 glass of wine, 1 can or bottle of wine cooler, 1 cocktail, or 1 shot of liquor.)  On the days when you drank, about how many drinks did you drink on the average?",AVEDRNK,__ __=Number of drinks  77=DK/NS  99=Refused,2003,Core Question,34
Alcohol Consumption,"Considering all types of alcoholic beverages, how many times during the past 30 days did you have 5 or more drinks on an occasion?",DRNK2GE5,_ _=Number of times  8 8=None  7 7=DK/NS  9 9=Refused,2003,Core Question,35
Skin Cancer/Excess Sun Exposure,"Then next question is about sunburns, including any time that even a small part of your skin was red for more than 12 hours.  Have you had a sunburn within the past 12 months?",SUNBURN,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,36
Skin Cancer/Excess Sun Exposure,"Including times when even a small part of your skin was red for more than 12 hours, how many sunburns have you had within the past 12 months?",NUMBURN,1=One  2=Two  3=Three  4=Four  5=Five  6=Six or more  7=DK/NS  9=Refused,2003,Core Question,37
Demographics,What is your age?,AGE,_ _=Code age in years  0 7=DK/NS   0 9=Refused,2003,Core Question,38
Demographics,Are you Hispanic or Latino?,HISPANC2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,39
Demographics,Which one or more of the following would you say is your race? (Check all that apply),MRACE,"1=White   2=Black or African American   3=Asian   4=Native Hawaiian or Other Pacific Islander   5=American Indian, Alaska Native   6=Other: [specify]__________   8=No additional choices  7=DK/NS   9=Refused",2003,Core Question,40
Demographics,Which one of these groups would you say best represents your race?,ORACE2,"1=White  2=Black or African American  3=Asian  4=Native Hawaiian or Other Pacific Islander  5=American Indian, Alaska Native  6=Other: [specify]__________  7=DK/NS  9=Refused",2003,Core Question,41
Demographics,Are you: (marital status),MARITAL,1=Married  2=Divorced  3=Widowed  4=Separated  5=Never married  6=A member of an unmarried couple  9=Refused,2003,Core Question,42
Demographics,How many children less than 18 years of age live in your household?,CHILDREN,_ _=Number of children  8 8=None  9 9=Refused,2003,Core Question,43
Demographics,What is the highest grade or year of school you completed?,EDUCA,1=Never attended school or only attended kindergarten  2=Grades 1 through 8 (Elementary)  3=Grades 9 through 11 (Some high school)  4=Grade 12 or GED (High school graduate)  5=College 1 year to 3 years (Some college or technical school)  6=College 4 years,2003,Core Question,44
Demographics,Are you currently:,EMPLOY,1=Employed for wages  2=Self-employed  3=Out of work for more than 1 year  4=Out of work for less than 1 year  5=A Homemaker  6=A Student  7=Retired  8=Unable to work  9=Refused,2003,Core Question,45
Demographics,Is your annual household income from all sources:,INCOME2,"04=Less than $25,000   ($20,000 to less than $25,000)   03=Less than $20,000   ($15,000 to less than $20,000)   02=Less than $15,000   ($10,000 to less than $15,000)   01=Less than $10,000   05=Less than $35,000   ($25,000 to less than $35,000)   06=Less",2003,Core Question,46
Demographics,About how much do you weigh without shoes?,WEIGHT,_ _ _=Weight (pounds)  7 7 7=DK/NS  9 9 9=Refused,2003,Core Question,47
Demographics,Do you have more than one telephone number in your household?  Do not include cell phones or numbers that are only used by a computer or fax machine.,NUMHHOL2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,51
Demographics,How many of these telephone numbers are residential numbers?,NUMPHON2,_=Residential telephone numbers[6=6 or more]  7=DK/NS  9=Refused,2003,Core Question,52
Demographics,"During the past 12 months, has your household been without telephone service for 1 week or more? (Do not include interruptions of telephone service because of weather or natural disasters.)",TELSERV,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,53
Demographics,Indicate sex of respondent. (Ask only if necessary.),SEX,1=Male  2=Female,2003,Core Question,54
Demographics,"To your knowledge, are you now pregnant?   (Note: This question was previously in the Women's Health section. This question was only asked of female respondents.)",PREGNANT,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,55
Arthritis (Arthritis Management/Burden),"The next questions refer to your joints.  Please do NOT include the back or neck.  DURING THE PAST 30 DAYS, have you had any symptoms of pain, aching, or stiffness in or around a joint?",PAIN30DY,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,56
Arthritis (Arthritis Management/Burden),[Prologue] Did your joint symptoms first begin more than 3 months ago?,JOINTSYM,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,57
Arthritis (Arthritis Management/Burden),[Prologue] Have you ever seen a doctor or other health professional for these joint symptoms?,JOINTRT2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,58
Arthritis (Arthritis Management/Burden),"[Prologue] Have you ever been told by a doctor or other health professional that you have some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia? Arthritis diagnoses include:...[See Questionnaire for complete list]",HAVARTH2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,59
Arthritis (Arthritis Management/Burden),"[Prologue] Are you now limited in any of your usual activities because of arthritis or joint symptoms? (Note: If a respondent question arises about medication, then the interviewer should reply: ""Please answer the question based on how you are when you are taking any of the medications or treatments you might use."")",LMTJOIN2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,60
Arthritis (Arthritis Management/Burden),"[Prologue: In this next question we are referring to work for pay.]  Do arthritis or joint symptoms now affect whether you work, the type of work you do, or the amount of work you do? (Note: if respondent says he/she is retired or out-of-work, reply: ""Did arthritis or joint symptoms cause you to stop working? That is, did it affect whether you work or not?""",ARTHDIS2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,61
Falls,"The next question asks about a recent fall. By a fall, we mean when a person unintentionally comes to rest on the ground or another lower level. In the past 3 months, have you had a fall?",FALL3MN,1=Yes  2=No  7=Don't know/not sure  9=Refused,2003,Core Question,62
Falls,"Were you injured?  (Note: This question is to be asked only of respondants who answered ""Yes"" to ""In the past 3 months, have you had a fall?"")",FALLINJ,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,63
Quality Of Life/Healthy Days (Symptoms)/Disability,"[Prologue: The following questions are about health problems or impairments you may have.] Are you limited in any way in any activities because of physical, mental, or emotional problems?",QLACTLM2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,64
Activity Limitations/Disability,"[Prologue] Do you now have any health problem that requires you to use special equipment, such as a cane, a wheelchair, a special bed, or a special telephone? Include occasional use or use in certain circumstances.",USEEQUIP,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,65
Quality Of Life/Healthy Days (Symptoms)/Disability,"[Prologue] Do you now have any health problem that requires you to use special equipment, such as a cane, a wheelchair, a special bed, or a special telephone? Include occasional use or use in certain circumstances.",USEEQUIP,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,66
Exercise/Physical Activity,"When you are at work, which of the following best describes what you do?  Would you say--  If respondent has multiple jobs, include all jobs.",JOBACTIV,1=Mostly sitting or standing  2=Mostly walking  3=Mostly heavy labor or physically demanding work  7=DK/NS  9=Refused,2003,Core Question,67
Exercise/Physical Activity,"[Prologue: We are interested in two types of physical activity: vigorous and moderate. Vigorous activities cause large increases in breathing or heart rate while moderate activities cause small increases in breathing or heart rate.] Now, thinking about the moderate physical activities you do [fill in ""when you are not working"" if ""employed"" or ""self-employed""] in a usual week, do you do moderate activities for at least 10 minutes at a time, such as brisk walking, bicycling, vacuuming, gardening, or anything else that causes small increases in breathing or heart rate?",MODPACT,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,68
Exercise/Physical Activity,How many days per week do you do these moderate activities for at least 10 minutes at a time?,MODPADAY,__ __=Days per week  88=Do not do any moderate physical activity for at least 10 minutes at a time  77=DK/NS  99=Refused,2003,Core Question,69
Exercise/Physical Activity,"On days when you do moderate activities for at least 10 minutes at a time, how much total time per day do you spend doing these activities?",MODPATIM,_:_ _=Hours and minutes per day  777=DK/NS  999=Refused,2003,Core Question,70
Exercise/Physical Activity,"Now thinking about the vigorous physical activities you do [fill in ""when you are not working"" if ""employed"" or self-employed""] in a usual week, do you do vigorous activities for at least 10 minutes at a time, such as running, aerobics, heavy yard work, or anything else that causes large increases in breathing or heart rate?",VIGPACT,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,71
Exercise/Physical Activity,How many days per week do you do these vigorous activities for at least 10 minutes at a time?,VIGPADAY,_ _ =Days per week  8 8=Do not do any vigorous physical activities for least 10 minutes at a time  7 7=DK/NS  9 9=Refused,2003,Core Question,72
Exercise/Physical Activity,"On days when you do vigorous activities for at least 10 minutes at a time, how much total time per day do you spend doing these activities?",VIGPATIM,_:_ _ =Hours and minutes per day  777=DK/NS  999=Refused,2003,Core Question,73
Veteran’s Health Status/Veteran's Status,"[Prologue: The next question relates to military service in the United States Armed Forces, either in the regular military or in a National Guard or Reserve unit].    Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a National Guard or military reserve unit?",VETERAN,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,74
Veteran’s Health Status/Veteran's Status,[Prologue] Which of the following best describes your service in the United States military?,VETSTAT2,1=Currently on active duty  2=Currently in a National Guard or Reserve unit  3=Retired from military service  4=Medically discharged from military service  5=Discharged from military service  7=DK/NS  9=Refused,2003,Core Question,75
Veteran’s Health Status/Veteran's Status,In the past 12 months have you received some or all of your health care from VA facilities? (Question formerly located in Demographics section),VACARE,"1=Yes, all of my health care  2=Yes, some of my health care  3=No, no VA health care received  7=DK/NS  9=Refused",2003,Core Question,76
HIV/AIDS,"The next few questions are about the national health problem of HIV, the virus that causes AIDS.  Please remember that your answers are strictly confidential and that you don't have to answer every question if you don't want to.    I'm going to read two statements about HIV, the virus that causes AIDS.  After I read each one, please tell me whether you think it is true or false, or if you don't know.      A pregnant woman with HIV can get treatment to help reduce the chances that she will pass the virus on to her baby.",HIVTF1A,1=True  2=False  7=DK/NS  9=Refused,2003,Core Question,77
HIV/AIDS,"(I am going to read two statements about HIV, the virus that causes AIDS.  After I read each one, please tell me whether you think it is true or false, or if you do not know.) There are medical treatments available that are intended to help a person who is infected with HIV to live longer.",HIVTF1B,1=True  2=False  7=DK/NS  9=Refused,2003,Core Question,78
HIV/AIDS,How important do you think it is for people to know their HIV status by getting tested?  Would you say:,HIVOPT1B,1=Very important  2=Somewhat important  3=Not at all important  7=DK/NS  9=Refused,2003,Core Question,79
HIV/AIDS,Have you ever been tested for HIV?  Do not count tests you may have had as part of a blood donation. (Include saliva tests.),HIVTST3,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,80
HIV/AIDS,"[Prologue] Not including blood donations, in what month and year was your last HIV test? Note: If response is before January 1985, code ""Don't know"".",HIVTSTD2,_ _/_ _ _ _=Code month and year  7 7 7 7 7 7=DK/NS  9 9 9 9 9 9=Refused,2003,Core Question,81
HIV/AIDS,"I am going to read you a list of reasons why some people have been tested for HIV.  Not including blood donations, which of these would you say was the MAIN reason for your last HIV test?",RSNTST4,01=It was required  02=Someone suggested you should be tested  03=You thought you may have gotten HIV through sex or drug use  04=You just wanted to find out whether you had HIV  05=You were worried that you could give HIV to someone  06=IF FEMALE: You we,2003,Core Question,82
HIV/AIDS,"Where did you have your last HIV test - at a private doctor or HMO office, at a couseling and testing site, at a hospital, at a clinic, in a jail or prison, at home, or somewhere else?",WHRTST5,01=Private doctor or HMO  02=Counseling and testing site  03=Hospital  04=Clinic  05=In a jail or prison (or other correctional facility)  06=Home  07=Somewhere else  77=DK/NS  99=Refused,2003,Core Question,83
Cardiovascular Disease/Heart Attack and Stroke,"Within the past 12 months, has a doctor, nurse, or other health professional told you to eat fewer high fat or high cholesterol foods?",CVDFATR2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,143
Sexual Behavior,"I'm going to read you a list.  When I'm done, please tell me if any of the situations apply to you.  You don't need to tell me which one.    You have used intravenous drugs in the past year.    You have been treated for a sexually transmitted or venereal disease in the past year.    You have given or received money or drugs in exchange for sex in the past year.    You had anal sex without a condom in the past year.    Do any of these situations apply to you?",HIVRISK2,1=Yes  2=No  7=Don't know/Not sure  9=Refused,2003,Core Question,84
HIV/AIDS,"The next question is about sexually transmitted diseases other than HIV, such as syphilis, gonorrhea, chlamydia, or genital herpes.  In the past 12 months has a doctor, nurse, or other health professional talked to you about preventing sexually transmitted diseases through condom use?",PCSAIDS2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Core Question,85
Diabetes,How old were you when you were told you have diabetes?  (Variable name change),DIABAGE2,_ _=Age in years [97=97 and older]  9 8=DK/NS  9 9=Refused,2003,Module Question,86
Diabetes,Are you now taking insulin?,INSULIN,1=Yes  2=No  9=Refused,2003,Module Question,87
Diabetes,Are you now taking diabetes pills?,DIABPILL,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,88
Diabetes,"About how often do you check your blood for glucose or sugar?  Include times when checked by a family member or friend, but do not include times when checked by a health professional.",BLDSUGAR,1_ _ =Times per day  2_ _ =Times per week  3_ _ =Times per month  4_ _ =Times per year  8 8 8=Never  7 7 7=DK/NS  9 9 9=Refused,2003,Module Question,89
Diabetes,"About how often do you check your feet for any sores or irritations?  Include times when checked by a family member or friend, but do NOT include times when checked by a health professional.",FEETCHK2,1_ _ =Times per day  2_ _ =Times per week  3_ _ =Times per month  4_ _ =Times per year  5 5 5=No feet  8 8 8=Never  7 7 7=DK/NS  9 9 9=Refused,2003,Module Question,90
Diabetes,Have you ever had any sores or irritations on your feet that took more than four weeks to heal?,FEETSORE,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,91
Diabetes,"About how many times in the past 12 months have you seen a doctor, nurse, or other health professional for your diabetes?",DOCTDIAB,_ _ =Number of times [76=76 or more]  8 8 =None  7 7 =DK/NS  9 9 =Refused,2003,Module Question,92
Diabetes,"A test for hemoglobin ""A one C"" measures the average level of blood sugar over the past three months.  About how many times in the last year has a doctor, nurse, or other health professional checked you for hemoglobin ""A one C""?",CHKHEMO2,"__ __=Number of times  88=None  98=Never heard of hemoglobin ""A one C"" test  77=DK/NS  99=Refused",2003,Module Question,93
Diabetes,About how many times in the past 12 months has a health professional checked your feet for any sores or irritations?,FEETCHK,_ _=Number of times [76=76 or more]  8 8=None   7 7=DK/NS   9 9=Refused,2003,Module Question,94
Diabetes,When was the last time you had an eye exam in which the pupils were dilated? This would have made you temporarily sensitive to bright light.,EYEEXAM,1=Within the past month (anytime less than 1 month ago)  2=Within the past year (1 month but less than 12 months ago)  3=Within the past 2 years (1 year but less than 2 years ago)  4=2 or more years ago  8=Never  7=DK/NS  9=Refused,2003,Module Question,95
Diabetes,Has a doctor ever told you that diabetes has affected your eyes or that you had retinopathy?,DIABEYE,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,96
Diabetes,Have  you ever taken a course or class in how to manage your diabetes yourself?,DIABEDU,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,97
Oral Health,How long has it been since you last visited a dentist or a dental clinic for any reason?,LASTDEN2,1=Within the past year  2-Within the past 2 years  3=Within the past 5 years  4=5 or more years ago  7=DK/NS  8=Never  9=Refused,2003,Module Question,98
Oral Health,"How many of your permanent teeth have been removed because of tooth decay or gum disease? Do not include teeth lost for other reasons, such as injury or orthodontics. If wisdom teeth are removed because of tooth decay or gum disease, they should be included in the count for lost teeth. Include teeth lost due to infection.",RMVTEETH,1=1 to 5  2=6 or more but not all  3=All  8=None  7=DK/NS  9=Refused,2003,Module Question,99
Oral Health,"How long has it been since you had your teeth ""cleaned"" by a dentist or dental hygienist?",DENCLEAN,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 5 years (2 years but less than 5 years ago)  4=5 or more years ago  7=DK/NS  9=Refused,2003,Module Question,100
Women's Health,A mammogram is an x-ray of each breast to look for breast cancer. Have you ever had a mammogram?,HADMAM,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,101
Women's Health,How long has it been since you had your last mammogram?,HOWLONG,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 3 years (2 years but less than 3 years ago)  4=Within the past 5 years (3 years but less than 5 years ago)  5=5 or mo,2003,Module Question,102
Cardiovascular Disease/Heart Attack and Stroke,"(Within the past 12 months, has a doctor, nurse, or other health professional told you to) eat more fruits and vegetables?",CVDFVEG,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,144
Women's Health,"You said your most recent mammogram was [CATI will be used to insert the time frame from the question ""How long has it been since you had your last mammogram?""]. How long before THAT mammogram was the last one?",NEXTMAM,1=Less than 12 months before   2=1 year but less than 2 years before   3=2 years but less than 3 years before   4=3 years but less than 5 years before   5=5 or more years before   6=Has only had one mammogram  7=DK/NS   8=Never   9=Refused,2003,Core Question,103
Women's Health,Were either of your two most recent mammograms done to check a possible problem?   -or-  Was your most recent mammogram done to check a possible problem?,WHYDONE3,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,104
Women's Health,"A clinical breast exam is when a doctor, nurse, or other health professional feels the breast for lumps. Have you ever had a clinical breast exam?",PROFEXAM,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,105
Women's Health,How long has it been since your last breast exam?,LENGEXAM,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 3 years (2 years but less than 3 years ago)  4=Within the past 5 years (3 years but less than 5 years ago)  5=5 or mo,2003,Module Question,106
Women's Health,A Pap smear is a test for cancer of the cervix. Have you ever had a Pap smear?,HADPAP,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,107
Women's Health,How long has it been since you had your last Pap smear?,LASTPAP,1=Within the past year (anytime less than 12 onths ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 3 years (2 years but less than 3 years ago)  4=Within the past 5 years (3 years but less than 5 years ago)  5=5 or mor,2003,Module Question,108
Women's Health,Have you had a hysterectomy? (Change in skip pattern.)    A hysterectomy is an operation to remove the uterus (womb).,HADHYST2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,109
Immunization/Influenza,At what kind of place did you get your last flu shot?,FLUPRO2,"01=A doctor's office or health maintenance organization  02=A health department  03=Another type of clinic or health center [Example: a community health center]  04=A senior, recreation, or community center  05=A store [Examples: supermarket, drug store]",2003,Module Question,110
Injury/Residential Fire/Firearms/Seatbelt Use,When was the last time you or someone else deliberately tested all of the smoke detectors in your home?,SMKDETE3,1=Within the past month  2=Within the past 6 months  3=Within the past year  4=One or more years ago  5=Never  6=No smoke detectors in home  7=DK/NS  9=Refused,2003,Module Question,111
Injury/Residential Fire/Firearms/Seatbelt Use,Have you (and your household) designed a fire escape plan?,FIRESCP3,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,112
Injury/Residential Fire/Firearms/Seatbelt Use,How often do you (and your household) practice your fire escape plan? Would you say:,FRPLANDO,1=Never  2=Less than once a year  3=Once a year  4=Once every six months  5=Once a month  6=More than once a month  7=Don't know/not sure  9=Refused,2003,Module Question,113
Cardiovascular Disease/Heart Attack and Stroke,[Prologue] (Do you think) sudden chest pain or discomfort (are symptoms of a stroke?),STRSYMP4,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,136
Injury/Residential Fire/Firearms/Seatbelt Use,"In your home fire escape plan, have you thought about (your household discussed) at least one way to exit every room?",FIREXIT,1=Yes   2=No   7=DK/NS   9=Refused,2003,Module Question,114
Injury/Residential Fire/Firearms/Seatbelt Use,"In your home fire escape plan, have you identifies a specific place outside of your residence to go (for household members to meet) after escaping a fire?",FRPEXLOC,1=Yes   2=No   7=DK/NS   9=Refused,2003,Module Question,115
Asthma/Adult Asthma History,"[Prologue: Previously you said you were told by a doctor, nurse, or other health professional that you had asthma.]  How old were you when you were first told by a doctor, nurse, or other health professional that you had asthma?",ASTHMAGE,_ _=Age in years 11 or older [96=96 and older]  9 7=Age 10 or younger  9 8=DK/NS  9 9=Refused,2003,Module Question,116
Asthma/Adult Asthma History,"[Prologue] During the past 12 months, have you had an episode of asthma or an asthma attack?",ASATTACK,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,117
Asthma/Adult Asthma History,"[Prologue] During the past 12 months, how many times did you visit an emergency room or urgent care center because of your asthma?",ASERVIST,_ _=Number of visits [87=87 or more]  8 8=None  9 8=DK/NS  9 9=Refused,2003,Module Question,118
Asthma/Adult Asthma History,"[If one or more visits to Q3, fill in ""Besides those emergency room visits,""] During the past 12 months, how many times did you see a doctor, nurse, or other health professional for urgent treatment of worsening asthma symptoms?",ASDRVIST,_ _=Number of visits [87=87 or more]  8 8=None  9 8=DK/NS  9 9=Refused,2003,Module Question,119
Asthma/Adult Asthma History,"[Prologue] During the past 12 months, how many times did you see a doctor, nurse, or other health professional for a routine checkup for your asthma?",ASRCHKUP,_ _=Number of visits [87=87 or more]  8 8=None  9 8=DK/NS  9 9=Refused,2003,Module Question,120
Asthma/Adult Asthma History,"[Prologue] During the past 12 months, how many days were you unable to work or carry out your usual activities because of your asthma?",ASACTLIM,_ _ _=Number of days  8 8 8=None  7 7 7=DK/NS  9 9 9=Refused,2003,Module Question,121
Cardiovascular Disease/Heart Attack and Stroke,"(Within the past 12 months, has a doctor, nurse, or other health professional told you to) be more physically active?",CVDEXRS2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,145
Asthma/Adult Asthma History,"[Prologue] Symptoms of asthma include cough, wheezing, shortness of breath, chest tightness and phlegm production when you don't have a cold or respiratory infection.  During the past 30 days, how often did you have any symptoms of asthma?  Would you say --",ASYMPTOM,"8=Not at any time  1=Less than once a week  2=Once or twice a week  3=More than 2 times a week, but not every day  4=Every day, but not all the time  5=Every day, all the time  7=DK/NS  9=Refused",2003,Module Question,122
Asthma/Adult Asthma History,"[Prologue] During the past 30 days, how many days did symptoms of asthma make it difficult for you to stay asleep? Would you say--",ASNOSLEP,8=None  1=One or two  2=Three to four  3=Five  4=Six to ten  5=More than ten  7=DK/NS  9=Refused,2003,Module Question,123
Asthma/Adult Asthma History,During the past 30 days how often did you take asthma medication that was prescribed or given to you by a doctor?  This includes using an inhaler.,ASTHMEDS,"8=Didn't take any  1=Less than once a week  2=Once or twice a week  3=More than 2 times a week, but not every day  4=Once every day  5=2 or more times every day  7=DK/NS  9=Refused",2003,Module Question,124
Asthma/Adult Asthma History,Earlier you said there were [fill in number from core] children age 17 or younger living in your household.  How many of these children have ever been diagnosed with asthma?,CASTHDX,__ __=Number of children  88=None  77=DK/NS  99=Refused,2003,Module Question,125
Asthma/Adult Asthma History,(Does this child/How many of these children) still have asthma?,CASTHNOW,__ __=Number of children  88=None  77=Don't know  99=Refused,2003,Module Question,126
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue: Now I would like to ask you about your knowledge of the signs and symptoms of a heart attack and stroke.  Which of the following do you think is a symptom of a heart attack?  For each, tell me ""yes"", ""no"", or you're ""not sure"".]  (Do you think) pain or discomfort in the jaw, neck, or back (are symptoms of a heart attack?)",HASYMP1,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,127
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue] (Do you think) feeling weak, lightheaded, or faint (are symptoms of a heart attack?)",HASYMP2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,128
Cardiovascular Disease/Heart Attack and Stroke,[Prologue] (Do you think) chest pain or discomfort (are symptoms of a heart attack?),HASYMP3,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,129
Cardiovascular Disease/Heart Attack and Stroke,[Prologue]  (Do you think) sudden trouble seeing in one or both eyes (is a symptom of a heart attack?),HASYMP4,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,130
Cardiovascular Disease/Heart Attack and Stroke,[Prologue] (Do you think) pain or discomfort in the arms or shoulder (are symptoms of a heart attack?),HASYMP5,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,131
Cardiovascular Disease/Heart Attack and Stroke,[Prologue] (Do you think) shortness of breath (is a symptom of a heart attack?),HASYMP6,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,132
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue: Which of the following do you think is a symptom of a stroke?  For each, tell me ""yes"", ""no"", or you're ""not sure"".] (Do you think) sudden confusion or trouble speaking (are symptoms of a stroke?)",STRSYMP1,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,133
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue] (Do you think) sudden numbness or weakness of face, arm, or leg, especially on one side, (are symptoms of a stroke?)",STRSYMP2,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,134
Cardiovascular Disease/Heart Attack and Stroke,[Prologue] (Do you think) sudden trouble seeing in one or both eyes (is a symptom of a stroke?),STRSYMP3,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,135
Tobacco Use/Smoking Cessation/Secondhand Smoke,Do you smoke cigarettes now?,SMOKENOW,1=Yes  2=No  9=Refused,1990,Core Question,20
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue] (Do you think) sudden trouble walking, dizziness, or loss of balance (are symptoms of a stroke?)",STRSYMP5,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,137
Cardiovascular Disease/Heart Attack and Stroke,[Prolgoue] (Do you think) severe headache with no known cause (is a symptom of a stroke?),STRSYMP6,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,138
Cardiovascular Disease/Heart Attack and Stroke,"If you thought someone was having a heart attack or a stroke, what is the first thing you would do?",FIRSTAID,1=Take them to the hospital  2=Tell them to call their doctor  3=Call 911  4=Call their spouse or a family member  5=Do something else  7=DK/NS  9=Refused,2003,Module Question,139
Cardiovascular Disease/Heart Attack and Stroke,"To lower your risk of developing heart disease or stroke, are you eating fewer high fat or high cholesterol foods?",CVDFAT02,1=Yes   2=No   7=DK/NS   9=Refused,2003,Module Question,140
Cardiovascular Disease/Heart Attack and Stroke,"(To lower your risk of developing heart disease or stroke, are you) eating more fruits and vegetables?",CVDFVG01,1=Yes  2=No  7=DK/NS  9=Refused,2003,Module Question,141
Cardiovascular Disease/Heart Attack and Stroke,"(To lower your risk of developing heart disease or stroke, are you) more physically active?",CVDEXR03,1=Yes   2=No   7=DK/NS   9=Refused,2003,Module Question,142
Cardiovascular Disease/Heart Attack and Stroke,"Has a doctor, nurse, or other health professional ever told you that you had any of the following?  A heart attack, also called a myocardial infarction?",CVDINFR2,1=Yes   2=No   7=DK/NS   9=Refused,2003,Module Question,146
